uniqueid,age_band,gender,culp_planning,culp_forcethreat,culp_role,culp_other_sophisticated,culp_other_usedchild,culp_other_banning,culp_other_involveothers,culp_other_coerced,culp_other_disorder,value_goods,harm_emotional,harm_injury,harm_damage,harm_effect,harm_otherfactors,culpability_category,harm_category,starting_point,agg_precons,agg_precons_amount,agg_attemptstoconceal,agg_failuretocomply,agg_bail,agg_TICs,agg_widerimpact,agg_prevalence,agg_professional,agg_stealing,agg_otherfactors,mit_age,mit_character,mit_convictions,mit_finhardship,mit_steps,mit_disorder,mit_remorse,mit_return,mit_condition,mit_carer,mit_otherfactors,outcome_before_GP,GP_entered,GP_firstopportunity,GP_when,GP_fewerrequirements,GP_reduction,GP_percentreduction,GP_droppedthreshold,outcome,outcome_custody_measure,outcome_custody_length,outcome_custody_years,outcome_suspension_years,totality_adjustment
POST011,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,More than £1000,0,0,0,1,0,C - Lesser,Category 1,Unknown/Missing,Yes,20 or more,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,8,0.15,,Yes
POST012,40 to 49,Male,High level of planning,High or significant level,Significant,1,0,0,0,0,0,£101-£200,0,0,0,0,0,A - High,Category 2,Unknown/Missing,Yes,1 to 3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,0,,0,Immediate Custody,,,,,Unknown/Missing
POST013,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,10 to 19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,Unknown/Missing,0,1,33,0,Immediate Custody,weeks,16,0.31,,Yes
POST014,40 to 49,Male,Unknown/Missing,None,Lone,0,0,1,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Fine band A,Yes,20 or more,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Community Order - High,Yes,Yes,First hearing,0,0,,1,Community Order - High,,,,,Yes
POST015,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,1,0,C - Lesser,Category 3,Fine band A,Yes,10 to 19,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,12,0.23,,Unknown/Missing
POST016,30 to 39,Male,Some planning,None,Significant,0,0,0,0,0,0,£51-£100,0,0,0,1,0,C - Lesser,Category 3,Unknown/Missing,Yes,20 or more,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Other,Yes,Yes,Unknown/Missing,0,1,30,0,Unknown/Missing,,,,,Yes
POST017,30 to 39,Male,Some planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,B - Medium,Category 3,Unknown/Missing,Yes,20 or more,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fine band B,Yes,Yes,First hearing,0,1,33,0,Fine band B,,,,,No
POST018,22 to 29,Female,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,A - High,Category 3,Unknown/Missing,Yes,10 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Community Order - Low,Yes,Yes,First hearing,1,0,,0,Community Order - Low,,,,,Yes
POST019,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,0,,0,Immediate Custody,days,1,0.003,,Yes
POST020,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,Unknown/Missing,Category 3,Unknown/Missing,Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Discharge,Yes,Yes,First hearing,0,0,,0,Conditional discharge,,,,,Yes
POST021,40 to 49,Female,Unknown/Missing,Unknown/Missing,Lone,0,0,0,0,0,0,Up to £10,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,Unknown/Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Discharge,Yes,Yes,Unknown/Missing,0,0,,1,Conditional discharge,,,,,No
POST022,30 to 39,Male,Some planning,Limited or low level,Leading,0,0,0,0,0,0,£201-£500,0,0,0,1,0,Unknown/Missing,Unknown/Missing,Unknown/Missing,Yes,20 or more,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suspended sentence order,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,14,0.27,,Yes
POST023,22 to 29,Male,High level of planning,None,Leading,0,0,0,0,0,0,More than £1000,0,0,0,1,0,A - High,Category 1,Custody,Yes,1 to 3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Unknown/Missing,First hearing,0,1,33,0,Immediate Custody,weeks,16,0.31,,Yes
POST024,30 to 39,Male,High level of planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,1,0,A - High,Category 3,Unknown/Missing,Yes,20 or more,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,30,0,Suspended sentence order,weeks,6,0.12,1,Yes
POST025,30 to 39,Male,Some planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,0,0,B - Medium,Category 3,Fine band C,Yes,4 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fine band C,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,Unknown/Missing
POST026,18 to 21,Female,Little or no planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Fine band B,Yes,20 or more,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,weeks,8,0.15,,Yes
POST027,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,1,£51-£100,0,0,0,0,0,C - Lesser,Unknown/Missing,Unknown/Missing,Yes,20 or more,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fine band C,Yes,Yes,First hearing,0,1,33,0,Fine band B,,,,,Unknown/Missing
POST028,22 to 29,Unknown/Missing,Little or no planning,None,Limited,0,0,0,0,0,0,£101-£200,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Fine band A,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,Unknown/Missing
POST029,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,1,0,B - Medium,Unknown/Missing,Unknown/Missing,Yes,20 or more,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Suspended sentence order,Yes,Yes,First hearing,0,1,33,0,Suspended sentence order,weeks,4,0.08,1,Yes
POST030,30 to 39,Male,Some planning,Unknown/Missing,Lone,0,0,0,0,0,0,£51-£100,0,0,0,0,0,B - Medium,Category 3,Unknown/Missing,Yes,None,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Discharge,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,Unknown/Missing
POST031,Unknown/Missing,Male,Little or no planning,None,Lone,0,0,0,0,0,0,Up to £10,0,0,0,0,0,C - Lesser,Unknown/Missing,Fine band A,Yes,1 to 3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fine band B,Yes,Yes,First hearing,0,1,33,0,Fine band B,,,,,Yes
POST032,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,Up to £10,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,4 to 9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fine band C,Yes,Yes,First hearing,0,1,33,0,Fine band C,,,,,No
POST033,22 to 29,Male,Unknown/Missing,Unknown/Missing,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,C - Lesser,Category 3,Fine (no band),Yes,Unknown/Missing,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Suspended sentence order,Yes,No,Subsequent hearing,0,1,25,0,Suspended sentence order,weeks,12,0.23,1,Yes
POST034,22 to 29,Female,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,C - Lesser,Category 3,Unknown/Missing,Yes,4 to 9,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Community Order - High,Yes,Yes,First hearing,0,1,30,0,Community Order - Medium,,,,,Yes
POST035,30 to 39,Female,Little or no planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Absolute discharge,Yes,10 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fine band C,Yes,Yes,First hearing,0,1,33,0,Unknown/Missing,,,,,No
POST036,30 to 39,Female,Little or no planning,None,Lone,0,0,0,0,0,1,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Fine band A,No,Not applicable,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,Discharge,Yes,Yes,Unknown/Missing,0,0,,0,Conditional discharge,,,,,Unknown/Missing
POST037,30 to 39,Male,Some planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,0,0,C - Lesser,Category 3,Fine (no band),Yes,1 to 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Community Order - High,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,days,7,0.02,,Yes
POST038,22 to 29,Male,High level of planning,None,Leading,0,0,0,0,0,0,£11-£50,0,0,0,0,0,A - High,Category 3,Community Order (no level),Yes,20 or more,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,33,0,Immediate Custody,,,,,Yes
POST039,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,C - Lesser,Category 3,Fine band C,Yes,Unknown/Missing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,Unknown/Missing,Yes,Yes,First hearing,0,1,33,0,Fine band A,,,,,Unknown/Missing
POST040,30 to 39,Male,Some planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Conditional discharge,Yes,10 to 19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fine band C,Yes,Unknown/Missing,Unknown/Missing,0,1,33,0,Fine band B,,,,,Yes
POST041,22 to 29,Female,Some planning,None,Limited,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,No,Not applicable,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Discharge,Yes,Yes,First hearing,0,0,,0,Conditional discharge,,,,,Unknown/Missing
POST042,18 to 21,Female,Little or no planning,None,Lone,0,0,0,0,0,1,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,4 to 9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,Community Order - Low,Yes,Yes,First hearing,1,0,,0,Community Order - Low,,,,,Yes
POST043,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,1,0,C - Lesser,Category 3,Fine band A,No,Not applicable,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fine band A,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,Yes
POST044,40 to 49,Male,Some planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,C - Lesser,Category 3,Fine (no band),Yes,1 to 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Community Order - Low,Yes,Yes,First hearing,0,1,Unknown,0,Immediate Custody,weeks,1,0.02,,No
POST045,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,10 to 19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Community Order - Low,Yes,Yes,First hearing,0,1,33,0,Community Order - Low,,,,,Yes
POST046,Unknown/Missing,Male,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,0,0,0,0,Unknown/Missing,0,0,0,0,0,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,,0,Unknown/Missing,,,,,Unknown/Missing
POST047,22 to 29,Male,Some planning,None,Significant,0,0,0,0,0,1,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Fine band B,Yes,1 to 3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Fine band B,Yes,Yes,First hearing,0,1,33,0,Fine band B,,,,,Yes
POST048,40 to 49,Male,Some planning,None,Leading,0,0,0,0,0,0,£201-£500,0,0,0,1,0,C - Lesser,Category 3,Unknown/Missing,Yes,Unknown/Missing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Community Order - Low,Yes,Yes,First hearing,0,0,,0,Unknown/Missing,,,,,Yes
POST049,22 to 29,Male,Little or no planning,None,Lone,0,0,1,0,0,1,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,20 or more,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Other,Yes,Yes,First hearing,0,0,,0,Unknown/Missing,,,,,Yes
POST050,30 to 39,Male,Some planning,None,Leading,0,1,0,0,0,0,£101-£200,0,0,0,1,0,C - Lesser,Category 3,Unknown/Missing,Yes,10 to 19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,0,,0,Unknown/Missing,,,,,Yes
POST051,40 to 49,Male,Little or no planning,Unknown/Missing,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Fine band A,Yes,4 to 9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,Fine band A,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,Yes
POST052,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,Unknown/Missing,Category 3,Fine band A,Yes,1 to 3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,Fine band A,Yes,Yes,Unknown/Missing,0,0,,0,Conditional discharge,,,,,Yes
POST053,30 to 39,Female,Some planning,None,Leading,0,0,0,0,0,0,£101-£200,0,0,0,1,0,B - Medium,Category 3,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fine band A,Yes,Yes,First hearing,0,1,33,0,Fine band A,,,,,Yes
POST054,40 to 49,Female,Little or no planning,None,Leading,0,0,0,0,0,0,£201-£500,0,0,0,1,1,B - Medium,Category 2,Unknown/Missing,Yes,1 to 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Discharge,Yes,Yes,First hearing,0,1,30,0,Community Order - Low,,,,,Yes
POST055,30 to 39,Female,Some planning,Unknown/Missing,Leading,0,0,0,0,0,0,£51-£100,0,0,0,1,1,C - Lesser,Category 3,Unknown/Missing,No,Not applicable,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Fine band C,Yes,Yes,First hearing,0,1,33,0,Fine band C,,,,,Yes
POST056,30 to 39,Female,Some planning,None,Leading,0,0,0,0,0,0,£201-£500,0,0,0,1,0,B - Medium,Category 2,Unknown/Missing,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,1,33,0,Community Order - Low,,,,,Yes
POST057,Unknown/Missing,Male,Some planning,None,Leading,0,0,0,0,0,0,Unknown/Missing,0,0,0,0,0,Unknown/Missing,Unknown/Missing,Community Order (no level),No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Community Order - Low,Yes,Yes,Unknown/Missing,1,0,,0,Community Order - Low,,,,,Yes
POST058,50 to 59,Male,Some planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,1,0,B - Medium,Category 2,Unknown/Missing,Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,Unknown,0,Immediate Custody,weeks,16,0.31,,No
POST059,Unknown/Missing,Female,Some planning,None,Leading,0,0,0,0,0,0,£101-£200,0,0,0,1,0,C - Lesser,Unknown/Missing,Unknown/Missing,Yes,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,0,,0,Community Order - Low,,,,,Yes
POST060,22 to 29,Female,Some planning,None,Leading,0,0,0,0,0,0,£501-£1000,0,0,0,0,0,B - Medium,Category 2,Unknown/Missing,No,Not applicable,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Community Order - Medium,Yes,Yes,First hearing,0,0,,1,Community Order - Low,,,,,No
POST061,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,1,0,C - Lesser,Category 3,Unknown/Missing,Yes,10 to 19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Community Order - Low,Yes,Yes,First hearing,0,0,,1,Community Order - Low,,,,,Yes
POST062,40 to 49,Female,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,C - Lesser,Category 3,Conditional discharge,Yes,4 to 9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Yes,Unknown/Missing,First hearing,1,0,,0,Suspended sentence order,,,,1,Unknown/Missing
POST063,40 to 49,Female,Little or no planning,None,Lone,0,0,0,0,0,1,£51-£100,0,0,0,1,0,C - Lesser,Unknown/Missing,Unknown/Missing,No,Not applicable,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Discharge,Yes,Unknown/Missing,First hearing,0,1,Unknown,0,Conditional discharge,,,,,No
POST064,40 to 49,Female,Some planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,1,0,B - Medium,Category 3,Fine band C,Yes,Unknown/Missing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Discharge,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,No
POST065,30 to 39,Male,Some planning,None,Lone,0,0,0,0,0,0,£501-£1000,0,0,0,1,0,B - Medium,Category 2,Community Order (no level),Yes,4 to 9,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,Unknown/Missing,0,0,,1,Suspended sentence order,weeks,8,0.15,1,Yes
POST066,Unknown/Missing,Female,Little or no planning,Unknown/Missing,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,C - Lesser,Category 3,Conditional discharge,Yes,1 to 3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fine band B,Yes,Yes,First hearing,0,1,33,0,Fine band B,,,,,Yes
POST067,30 to 39,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Fine (no band),Yes,20 or more,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,0,,1,Suspended sentence order,weeks,8,0.15,1,Unknown/Missing
POST068,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Unknown/Missing,Absolute discharge,Yes,1 to 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Discharge,Yes,Yes,First hearing,0,0,,0,Conditional discharge,,,,,Yes
POST069,30 to 39,Female,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,1,1,C - Lesser,Category 3,Unknown/Missing,Yes,20 or more,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Community Order - Low,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,Yes
POST070,22 to 29,Female,Some planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,1,0,C - Lesser,Category 3,Unknown/Missing,Yes,10 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Community Order - Medium,Yes,Unknown/Missing,First hearing,1,0,,0,Community Order - Medium,,,,,Unknown/Missing
POST071,18 to 21,Female,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,0,0,0,0,£11-£50,1,0,0,0,0,C - Lesser,Category 3,Fine band C,No,Not applicable,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,Fine band A,Yes,Yes,First hearing,0,1,33,0,Fine band A,,,,,Unknown/Missing
POST072,22 to 29,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,1,0,C - Lesser,Category 3,Fine (no band),Yes,4 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fine band B,Yes,Yes,First hearing,0,1,33,0,Fine band B,,,,,Yes
POST073,40 to 49,Male,Some planning,Limited or low level,Significant,0,0,0,0,0,0,£101-£200,0,0,0,1,0,B - Medium,Category 3,Unknown/Missing,Yes,10 to 19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Community Order - High,Yes,Yes,First hearing,0,1,Unknown,0,Community Order - Medium,,,,,No
POST074,30 to 39,Female,Some planning,High or significant level,Leading,0,0,0,0,0,0,£501-£1000,0,0,0,1,0,A - High,Category 2,Custody,Yes,20 or more,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,1,33,0,Unknown/Missing,,,,,Yes
POST075,60 and over,Male,Little or no planning,None,Unknown/Missing,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Unknown/Missing,Unknown/Missing,Yes,10 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Unknown/Missing,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,Yes
POST076,Unknown/Missing,Male,Some planning,None,Leading,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,0,0,,0,Unknown/Missing,,,,,Unknown/Missing
